epoch,accuracy,loss,val_accuracy,val_loss
0,0.12146814167499542,2.6983935832977295,0.15531158447265625,2.680849552154541
1,0.14681440591812134,2.579923152923584,0.15531158447265625,2.658991813659668
2,0.15166205167770386,2.564305067062378,0.15531158447265625,2.643341064453125
3,0.15540166199207306,2.5550827980041504,0.15531158447265625,2.6293892860412598
4,0.15463988482952118,2.5505213737487793,0.15531158447265625,2.6224071979522705
5,0.15512464940547943,2.5472681522369385,0.15531158447265625,2.61720609664917
6,0.15443213284015656,2.5431878566741943,0.15531158447265625,2.613837242126465
7,0.15498614311218262,2.539670944213867,0.15531158447265625,2.5900299549102783
8,0.15512464940547943,2.540966272354126,0.15531158447265625,2.6098718643188477
9,0.15526315569877625,2.539868116378784,0.15531158447265625,2.608386993408203
