epoch,accuracy,loss,val_accuracy,val_loss
0,0.15041550993919373,2.7790846824645996,0.15531158447265625,2.652277946472168
1,0.15692520141601562,2.5586957931518555,0.15983209013938904,2.6246769428253174
2,0.158656507730484,2.543461561203003,0.16370680928230286,2.605400562286377
3,0.15900276601314545,2.539100170135498,0.16370680928230286,2.599011182785034
4,0.15900276601314545,2.5380241870880127,0.16338391602039337,2.5972445011138916
5,0.15914127230644226,2.5373849868774414,0.16370680928230286,2.5910263061523438
6,0.1595567911863327,2.535630226135254,0.16402970254421234,2.5884063243865967
7,0.15900276601314545,2.5359320640563965,0.16370680928230286,2.5889627933502197
8,0.15934902429580688,2.53580641746521,0.16402970254421234,2.5845677852630615
9,0.16108033061027527,2.5316615104675293,0.16338391602039337,2.586137056350708
