epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
6,0.8776097297668457,0.0010000000474974513,0.3400724530220032,0.9017194509506226,0.856453537940979,0.7013372778892517,1.622815489768982,0.7157087922096252,0.6939078569412231
7,0.8828060030937195,0.0010000000474974513,0.33530744910240173,0.9016234874725342,0.8657325506210327,0.5237741470336914,3.7572739124298096,0.5350118279457092,0.5052005648612976
8,0.8988586664199829,0.0010000000474974513,0.28303590416908264,0.9157692193984985,0.883733868598938,0.5564635992050171,3.9033780097961426,0.5684455037117004,0.5460624098777771
9,0.9043332934379578,0.0010000000474974513,0.2693546414375305,0.9179967641830444,0.8912498950958252,0.49034175276756287,4.0330610275268555,0.505836546421051,0.4829123318195343
10,0.9356036186218262,0.0005000000237487257,0.17719006538391113,0.9459382891654968,0.9270669221878052,0.5260029435157776,5.4621429443359375,0.5337941646575928,0.5163447260856628
11,0.9405214786529541,0.0005000000237487257,0.16930535435676575,0.9482335448265076,0.9314280152320862,0.7466567754745483,1.1833550930023193,0.7701863646507263,0.7369984984397888
12,0.937459409236908,0.0005000000237487257,0.1707858294248581,0.9479107856750488,0.9304073452949524,0.6456166505813599,3.4445221424102783,0.6554364562034607,0.6359583735466003
13,0.9436763525009155,0.0005000000237487257,0.1596268117427826,0.9504466652870178,0.9379233717918396,0.8736998438835144,0.41994714736938477,0.8884673714637756,0.8699851632118225
14,0.9489653706550598,0.0005000000237487257,0.14960573613643646,0.9562188386917114,0.9423772692680359,0.6411589980125427,2.207517623901367,0.6594594717025757,0.6344724893569946
15,0.948779821395874,0.0005000000237487257,0.1466345638036728,0.9550625085830688,0.9426556825637817,0.6270430684089661,4.342852592468262,0.6378254294395447,0.618870735168457
16,0.9489653706550598,0.0005000000237487257,0.15078508853912354,0.9543876051902771,0.9435835480690002,0.8402674794197083,0.6997821927070618,0.8548510074615479,0.831352174282074
17,0.960564136505127,0.0002500000118743628,0.10944898426532745,0.9658792614936829,0.9561102390289307,0.7815750241279602,1.1885097026824951,0.7926549315452576,0.7696879506111145
18,0.9642757773399353,0.0002500000118743628,0.09833135455846786,0.9694784879684448,0.9608425498008728,0.8261515498161316,1.0335332155227661,0.8392993211746216,0.818722128868103
