epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.15554016828536987,9.999999747378752e-06,2.5458664894104004,0.15531158447265625,2.6116726398468018
1,0.15540166199207306,9.999999747378752e-06,2.5430471897125244,0.15531158447265625,2.611632823944092
2,0.15547090768814087,9.999999747378752e-06,2.536929130554199,0.15531158447265625,2.6116108894348145
3,0.15519391000270844,9.999999747378752e-06,2.531263589859009,0.15531158447265625,2.6115963459014893
4,0.15554016828536987,4.999999873689376e-06,2.5250675678253174,0.15531158447265625,2.6115972995758057
5,0.15505540370941162,4.999999873689376e-06,2.524355888366699,0.15531158447265625,2.6115942001342773
6,0.15519391000270844,4.999999873689376e-06,2.5233569145202637,0.15531158447265625,2.6115927696228027
7,0.15408587455749512,2.499999936844688e-06,2.518324851989746,0.15531158447265625,2.6115951538085938
8,0.15429362654685974,2.499999936844688e-06,2.5174014568328857,0.15531158447265625,2.6115992069244385
9,0.15339335799217224,2.499999936844688e-06,2.5215747356414795,0.15531158447265625,2.6115965843200684
10,0.15457063913345337,1.249999968422344e-06,2.515801429748535,0.15531158447265625,2.6115996837615967
11,0.15339335799217224,1.249999968422344e-06,2.5141842365264893,0.15531158447265625,2.611600637435913
12,0.1538088619709015,1.249999968422344e-06,2.5152807235717773,0.15531158447265625,2.6116011142730713
13,0.154778391122818,6.24999984211172e-07,2.517857074737549,0.15531158447265625,2.611602306365967
